LAST SEEN   TYPE      REASON                    OBJECT                           MESSAGE
49m         Normal    Killing                   pod/nginx-5869d7778c-247tg       Stopping container nginx
49m         Normal    Killing                   pod/nginx-5869d7778c-4kx9j       Stopping container nginx
49m         Normal    Killing                   pod/nginx-5869d7778c-99fzl       Stopping container nginx
49m         Normal    Killing                   pod/nginx-5869d7778c-bdrjb       Stopping container nginx
49m         Normal    Killing                   pod/nginx-5869d7778c-d9jhs       Stopping container nginx
49m         Normal    Killing                   pod/nginx-5869d7778c-fd7sl       Stopping container nginx
49m         Normal    Killing                   pod/nginx-5869d7778c-k66cz       Stopping container nginx
49m         Normal    Killing                   pod/nginx-5869d7778c-n8sgc       Stopping container nginx
49m         Normal    Killing                   pod/nginx-5869d7778c-tl87v       Stopping container nginx
49m         Normal    Killing                   pod/nginx-5869d7778c-zj9sz       Stopping container nginx
3m5s        Normal    Scheduled                 pod/nginx-ha-7d744949b7-254dc    Successfully assigned default/nginx-ha-7d744949b7-254dc to prod-ha-worker2
3m4s        Normal    Pulling                   pod/nginx-ha-7d744949b7-254dc    Pulling image "nginx:latest"
3m          Normal    Pulled                    pod/nginx-ha-7d744949b7-254dc    Successfully pulled image "nginx:latest" in 1.839s (3.952s including waiting). Image size: 63120520 bytes.
3m          Normal    Created                   pod/nginx-ha-7d744949b7-254dc    Created container: nginx
3m          Normal    Started                   pod/nginx-ha-7d744949b7-254dc    Started container nginx
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-2cr8c    Successfully assigned default/nginx-ha-7d744949b7-2cr8c to prod-ha-worker2
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-2cr8c    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-2cr8c    Successfully pulled image "nginx:latest" in 1.514s (13.481s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-2cr8c    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-2cr8c    Started container nginx
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-2f5np    Successfully assigned default/nginx-ha-7d744949b7-2f5np to prod-ha-worker2
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-2f5np    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-2f5np    Successfully pulled image "nginx:latest" in 1.628s (1.628s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-2f5np    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-2f5np    Started container nginx
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-59d4t    Successfully assigned default/nginx-ha-7d744949b7-59d4t to prod-ha-worker
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-59d4t    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-59d4t    Successfully pulled image "nginx:latest" in 1.511s (11.683s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-59d4t    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-59d4t    Started container nginx
8m10s       Warning   NodeNotReady              pod/nginx-ha-7d744949b7-59d4t    Node is not ready
3m5s        Normal    TaintManagerEviction      pod/nginx-ha-7d744949b7-59d4t    Marking for deletion Pod default/nginx-ha-7d744949b7-59d4t
